Perfume,Brand,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
classique-pride-2024,jean-paul-gaultier,"yuzu, citruses","orange blossom, neroli","musk, blonde woods",citrus,white floral,sweet,fresh,musky
ralph-pride-edition,ralph-lauren,"tangerine, green apple, freesia","magnolia, lime (linden blossom), osmanthus","musk, white iris",citrus,fruity,floral,sweet,green
waffle,we-pink,"strawberry, almond, raspberry","butter, peach blossom, violet","praline, vanilla, musk",powdery,musky,violet,fruity,fresh
cherry-lady,brocard,"watermelon, mango, papaya, pineapple, peach, lemon","lotus, hibiscus","musk, sandalwood, amber",fruity,tropical,sweet,ozonic,aquatic
french-kiss,bybozo,"lemon verbena, neroli","fig, corn, magnolia, saffron, barberry, cherry blossom","pear wood, meringue, amber",fruity,woody,sweet,floral,citrus
glamour-gold-glam,o-boticario,"raspberry, neroli, bergamot","jasmine, orange blossom, tuberose","clearwood, amber, sandalwood, patchouli, cistus incanus",woody,white floral,fruity,sweet,amber
clean-simply-soap,clean,"bergamot, frangipani","lotus, violet, rose",musk,floral,powdery,citrus,musky,violet
classique-pride-edition,jean-paul-gaultier,"yuzu, blood orange","neroli, orange blossom","musk, white wood",citrus,white floral,musky,woody,fresh spicy
orangerie-mimosa,faberlic,mimosa,red lily,"iris, tonka bean",yellow floral,powdery,floral,sweet,white floral
snow-palace,brocard,"ozonic notes, aquatic notes, aldehydes","white musk, lily of the valley, bergamot","sandalwood, amber",ozonic,aldehydic,fresh,marine,musky
diesel-green-feminine-special-edition,diesel,"lime, ginger, cinnamon","carnation, orange blossom, jasmine, rose","cedar, sandalwood, amber, musk",warm spicy,citrus,woody,white floral,floral
oshi,bi-es,"freesia, litchi, peony, pepper","lily-of-the-valley, magnolia, violet root","powdery notes, cedar, white musk",floral,powdery,fresh,woody,fresh spicy
charming-snowdrop,pokrovka-trading-house,"freesia, pepper","snowdrops, jasmine, bulgarian rose","incense, sandalwood",floral,fresh,white floral,green,unknown
erato,brocard,"coriander, lemon, orange","strawberry, violet, spun sugar, raspberry","vanilla, musk, sandalwood, palisander rosewood, tolu balsam, amber",sweet,powdery,fruity,vanilla,woody
morayma,ricardo-ramos-perfumes-de-autor,"fig leaf, guava, coriander, grapefruit","gardenia, jasmine, magnolia, chamomile, narcissus","musk, hay, orris root",white floral,green,musky,herbal,lactonic
kaorishiro,dilis-parfum,"lemon verbena, jasmine","hyacinth, musk, lemon","galbanum, cedar, moss",green,citrus,floral,musky,fresh spicy
lesnaa-malina-i-dusica-wild-raspberries-and-oregano,brocard,"raspberry, watery notes, wild strawberry","rose hip, violet","caramel, musk, oakmoss",fruity,sweet,caramel,rose,musky
collection-privee-brise-d-amour,faberlic,"neroli, rose hip, pineapple, green apple, jasmine, galbanum","freesia, iris, lily, lily-of-the-valley, rose","musk, amber, vanilla, apricot",white floral,floral,fruity,powdery,rose
roma-eau-de-toilette-rosa,laura-biagiotti,"wild berries, bergamot","rose, jasmine, peony, neroli","vanilla, musk, sandalwood",vanilla,floral,rose,powdery,fruity
souvenir,faberlic,"freesia, raspberry, litchi","lily-of-the-valley, lily, jasmine, ylang-ylang, rose, peony","patchouli, white musk",white floral,fresh,floral,green,patchouli
love-pulse,avon,carambola (star fruit),rose,"musk, cedar",rose,fruity,tropical,musky,woody
uviolet,faberlic,"green leaves, pink grapefruit","flowers, magnolia, orchid, blackberry","white wood, amber, vanilla",floral,green,citrus,fruity,unknown
scarlet-rain,mandarina-duck,"blood orange, red currant","cyclamen, orchid, rose","benzoin, amber, musk",floral,fruity,amber,citrus,fresh
western-leather-white,alexandre-j,"apple, rhubarb, red berries","pineapple, pear, black currant, freesia, rose, jasmine","white musk, violet, amberwood, moss",fruity,sweet,fresh,green,musky
little-mermaid,disney,jasmine sambac,tuberose,almond,white floral,tuberose,almond,animalic,unknown
vf-virginia-fonseca-honey,we-pink,"blood orange, peach, cardamom","rum, cognac, jasmine","vanilla, patchouli, sandalwood",woody,rum,warm spicy,citrus,sweet
muguet-du-bonheur-2021,caron,"watermelon, lime, nashi pear, bergamot, italian mandarin","lily-of-the-valley, turkish rose, rose","patchouli, moss, virginian cedar",citrus,aquatic,ozonic,fruity,white floral
chic-blossom,haute-fragrance-company-hfc,"indian jasmine, italian lemon, italian mandarin","jasmine sambac, amber","musk, benzoin, tobacco",white floral,musky,amber,powdery,citrus
lagerfeld-femme,karl-lagerfeld,"rhubarb, green mandarin, elemi resin","narcissus, lily","cedar, musk, cherry",green,aromatic,yellow floral,citrus,fruity
tutti-twilly-d-hermes,hermes,litchi,ginger flower,musk,fruity,warm spicy,fresh,tropical,musky
fiori-di-luna,bi-es,"mandarin orange, grapefruit","orange, peach","woody notes, musk",citrus,woody,musky,unknown,unknown
svetskaya-lvitsa,brocard,"green apple, black currant, plum","rose, freesia, lily-of-the-valley","musk, cedar, sandalwood",fruity,musky,floral,rose,woody
sunshine-kiss,avon,carambola (star fruit),frangipani,musk,tropical,floral,fruity,musky,citrus
celebre-ice,avon,"grapefruit, green notes, bergamot, violet leaf","rose, freesia, peach","musk, woody notes, vanilla",citrus,green,musky,floral,powdery
purple-elixir,alyssa-ashley,"star anise, jasmine, solar notes, aldehydes","jasmine, orange blossom, heliotrope, cashmere wood","amber, musk, vetiver",white floral,powdery,anis,soft spicy,amber
gaultier-divine-le-parfum,jean-paul-gaultier,"solar notes, lily","frangipani, sea salt","amber, benzoin",amber,white floral,floral,aldehydic,tropical
eye-to-eye-vlublena,faberlic,"cinnamon, apple, pineapple","toffee, caramel, vanilla, peach, jasmine, violet",tonka bean,sweet,fruity,caramel,cinnamon,warm spicy
red-roses-cologne-2023,jo-malone-london,lemon,red rose,honeycomb,rose,floral,unknown,unknown,unknown
elvie-white-magic,oriflame,"amalfi lemon, neroli, bergamot, pink pepper","jasmine, african orange flower, freesia","musk, virginia cedar, sandalwood",citrus,white floral,musky,powdery,floral
flower-fresh,faberlic,"grass, watermelon, mandarin orange, peony","pink tulip, peach, tomato leaf","cypress, musk",green,fresh,ozonic,aquatic,floral
dolly-girl-lil-starlet,anna-sui,"lemon, orange, pear","peony, lily","plum, musk",citrus,fruity,fresh,sweet,floral
vanilla-milk,ellis-brooklyn,"milk, frangipani, jasmine, peony","bourbon vanilla, madagascar vanilla, cacao pod","benzoin, amyris, sandalwood, musk",vanilla,lactonic,woody,powdery,warm spicy
vodka-pink,paris-elysees,"verbena, sage, chamomile","rose, white flowers, geranium","moss, patchouli, vetiver",earthy,rose,woody,mossy,white floral
fashionista,ellen-tracy,"peach, plum, melon, citruses","mimosa, orange blossom, violet","woody notes, spicy notes",powdery,yellow floral,sweet,white floral,fruity
love-forever-white,bi-es,"grapefruit, black currant, apricot","lily-of-the-valley, jasmine, rose","apple, woody notes",white floral,fresh,fruity,citrus,green
sin,bi-es,"tangerine, red currant, green notes","rose, plum, orange, freesia","amber, patchouli, musk",fruity,citrus,sweet,amber,patchouli
avon-luck-eau-so-happy,avon,raspberry,magnolia,musk,musky,powdery,floral,sweet,unknown
giordani-gold,oriflame,"white flowers, orange blossom, mandarin orange, lemon blossom","jasmine, tuberose, lily","cypress, patchouli, moss, white musk",white floral,woody,tuberose,animalic,unknown
commedia-dell-arte,brocard,"orange, lemon, bergamot","apricot, plum, honeysuckle, white flowers","honey, vanilla, musk",sweet,fruity,honey,powdery,vanilla
show-off,charriol,"black currant, bergamot, peach","rose, lotus, violet","virginia cedar, musk, amber",fruity,woody,floral,powdery,citrus
colore-colore-violet,parfums-genty,"black currant, blackberry, pineapple","sugar cane, rose, green notes, jasmine","musk, sandalwood, woody notes",fruity,sweet,unknown,unknown,unknown
cherry-bloom,bi-es,"green grass, grapes","jasmine, cherry, violet, almond","iris, musk",violet,white floral,powdery,cherry,iris
le-secret-du-charme,brocard,"pear, apple, lemon","cedar, sandalwood, lily-of-the-valley","musk, vanilla, amber",fruity,powdery,woody,fresh,sweet
mexx-spring-is-now-woman,mexx,"apple, grapefruit, black currant","rose, lily-of-the-valley","peach blossom, brazilian rosewood",floral,fruity,rose,fresh,citrus
whispers-of-strength,house-of-sillage,"boysenberry, frangipani","indian tuberose, egyptian jasmine","amber, vanilla",white floral,tuberose,floral,fruity,tropical
here-to-stay,naomi-campbell,"raspberry, black currant","rose, jasmine","musk, vanilla",fruity,rose,white floral,sweet,musky
colore-colore-pink,parfums-genty,"grapefruit, lemon, bergamot, rose, white flowers, jasmine","raspberry, red berries, peach, wild strawberry","woody notes, musk",fruity,citrus,sweet,unknown,unknown
clean-baby-girl,clean,"cyclamen, lemon, orange, egyptian pelargonium","heliotrope, african violet, lavender, ceylon cinnamon, ylang-ylang","white musk, cedar",powdery,floral,citrus,violet,aromatic
sweet-spoiled,haute-fragrance-company-hfc,"artemisia, rum","crithmum, osmanthus, labdanum","madagascar vanilla, benzoin, patchouli",vanilla,warm spicy,amber,aromatic,herbal
indomptee,lulu-castagnette,"pineapple, guava, mango, bergamot, melon, mandarin orange, black currant","magnolia, rose, lily-of-the-valley, jasmine","iris, patchouli, oakmoss, vetiver",fruity,tropical,sweet,citrus,fresh
spring-narcissus,pokrovka-trading-house,"geranium, rose","narcissus, lily-of-the-valley","vanilla, cedar, patchouli",yellow floral,green,vanilla,aromatic,fresh spicy
aspire,avon,aldehydes,"jasmine, african orange flower, iris, rose","musk, sandalwood, virginia cedar",white floral,aldehydic,powdery,woody,fresh
lovely-kiss,salvador-dali,"grapefruit, rhuburb, black currant, sugar, pink pepper","litchi, violet, peony","musk, patchouli, virginia cedar",fruity,citrus,sweet,fresh,floral
strast,brocard,"raspberry, mandarin orange, orange, apple","litchi, rose, apricot, lily","musk, amber",fruity,rose,sweet,tropical,citrus
my-sin,lanvin,"juicy apricot, pear","freesia, rose petals","musk, sandalwood",fruity,floral,powdery,sweet,rose
love,avon,"apple blossom, fruity notes, orange","rose, lily-of-the-valley, jasmine","musk, white woods, vanilla",floral,fruity,rose,white floral,sweet
cherchez-la-femme,faberlic,"currant buds, bergamot, lemon, aldehydes, mandarin orange","freesia, peony, orchid, cardamom, cyclamen, rose","guaiac wood, sandalwood, white wood, ambergris",citrus,floral,aromatic,fresh,woody
cherish-escape,avon,"pink grapefruit, pear, wild strawberry leaf","violet, rose petals, jasmine sambac","sandalwood, amber, dark chocolate",violet,citrus,powdery,rose,floral
pur-blanca-elegance,avon,"pear, strawberry, mandarin orange","gardenia, white orchid, jasmine","white musk, vanila, amber",white floral,sweet,fruity,powdery,musky
rose-amber-cologne-2024,jo-malone-london,"clove, pink pepper","rose, ginger","amber, white musk, patchouli",rose,warm spicy,amber,musky,floral
flower-by-kenzo-summer-2008,kenzo,"ginger, mandarin orange, litchi","freesia, parma violet","white musk, incense",floral,warm spicy,citrus,violet,powdery
crystal,bi-es,"apple, grapefruit, galbanum, orange","jasmine, lily-of-the-valley, rose","musk, vanilla, amber, tonka bean, cedar",white floral,vanilla,green,musky,citrus
pink-taxi,brocard,"strawberry, black currant, apple","sweet pea, rose, jasmine, freesia","musk, sandalwood, amber",fruity,sweet,floral,musky,unknown
silent,parfums-genty,"green notes, apple","peony, peach, rose","musk, cedar",green,fruity,fresh,floral,musky
cherry-lady-delicious,brocard,"milk, cacao, almond, cloves, lime","cherry, raspberry, jasmine","vanilla, amber",cherry,sweet,lactonic,cacao,almond
whispers-of-time,house-of-sillage,"bergamot, tunisian neroli","orange blossom, ginger","cedar, musk",citrus,white floral,woody,fresh spicy,warm spicy
shahrazad-saherezada,brocard,"orange, bergamot","tuberose, magnolia","amber, vanilla, musk",citrus,tuberose,floral,white floral,amber
oceanica,faberlic,"cucumber, sea notes, black currant leaf","water lily, violet, cyclamen",musk,aquatic,ozonic,marine,floral,green
